i, t, y, v
424, 2.120000, 3.478914, -2.033946
425, 2.125000, 3.468744, -2.028056
426, 2.130000, 3.458604, -2.022182
427, 2.135000, 3.448493, -2.016325
428, 2.140000, 3.438412, -2.010483
429, 2.145000, 3.428359, -2.004658
430, 2.150000, 3.418336, -1.998848
431, 2.155000, 3.408342, -1.993055
432, 2.160000, 3.398376, -1.987277
433, 2.165000, 3.388440, -1.981515
434, 2.170000, 3.378532, -1.975769
435, 2.175000, 3.368653, -1.970039
436, 2.180000, 3.358803, -1.964325
437, 2.185000, 3.348982, -1.958626
438, 2.190000, 3.339189, -1.952944
439, 2.195000, 3.329424, -1.947277
440, 2.200000, 3.319687, -1.941625
441, 2.205000, 3.309979, -1.935990
442, 2.210000, 3.300299, -1.930370
443, 2.215000, 3.290647, -1.924765
444, 2.220000, 3.281024, -1.919177
445, 2.225000, 3.271428, -1.913603
446, 2.230000, 3.261860, -1.908045
447, 2.235000, 3.252320, -1.902503
448, 2.240000, 3.242807, -1.896976
449, 2.245000, 3.233322, -1.891465
450, 2.250000, 3.223865, -1.885969
451, 2.255000, 3.214435, -1.880488
452, 2.260000, 3.205033, -1.875023
453, 2.265000, 3.195657, -1.869573
454, 2.270000, 3.186310, -1.864138
455, 2.275000, 3.176989, -1.858718
456, 2.280000, 3.167695, -1.853314
457, 2.285000, 3.158429, -1.847924
458, 2.290000, 3.149189, -1.842550
459, 2.295000, 3.139976, -1.837191
460, 2.300000, 3.130790, -1.831847
461, 2.305000, 3.121631, -1.826518
462, 2.310000, 3.112499, -1.821204
463, 2.315000, 3.103393, -1.815905
464, 2.320000, 3.094313, -1.810620
465, 2.325000, 3.085260, -1.805351
466, 2.330000, 3.076233, -1.800097
467, 2.335000, 3.067233, -1.794857
468, 2.340000, 3.058258, -1.789632
469, 2.345000, 3.049310, -1.784422
470, 2.350000, 3.040388, -1.779227
471, 2.355000, 3.031492, -1.774046
472, 2.360000, 3.022622, -1.768880
473, 2.365000, 3.013777, -1.763729
474, 2.370000, 3.004959, -1.758592
475, 2.375000, 2.996166, -1.753470
476, 2.380000, 2.987398, -1.748362
477, 2.385000, 2.978657, -1.743269
478, 2.390000, 2.969940, -1.738190
479, 2.395000, 2.961249, -1.733126
480, 2.400000, 2.952584, -1.728076
481, 2.405000, 2.943943, -1.723040
482, 2.410000, 2.935328, -1.718019
483, 2.415000, 2.926738, -1.713011
484, 2.420000, 2.918173, -1.708019
